id,name,Grade,email,address,region,country    ,,
1,Malcolm Barnes,9,velit.aliquam@outlook.couk,"375-3721 Elementum- Road",Adana,United Kingdom     ,,
2,Devin Crane,0,eu.sem@outlook.edu,"217-4777 Lorem- Rd.",South Australia,Ukraine      ,,
3,Isaiah Jacobson,10,class.aptent@icloud.net,339-2256 Sagittis Rd.,Oslo,Netherlands  ,,
4,Cedric Burris,2,vitae.dolor.donec@aol.net,"P.O. Box 990- 8379 Vel Avenue",HÃ Giang,Brazil    ,,
5,Mark Delgado,2,quis.massa.mauris@aol.com,Ap -494-9054 Sed St.,"Sokoto,Peru",    ,
6,Fritz Howe,8,nunc.in@hotmail.couk,480-6041 Nam Ave,Sokoto,Peru    ,,
7,Walker Tate,4,arcu.et@outlook.couk,"2696 Vulputate- Ave",Puntarenas,Spain    ,,
8,Wallace Fischer,6,viverra.donec@hotmail.org,634-7895 Viverra. Ave,South Kalimantan,Turkey     ,,
9,Wayne Frost,9,felis.ullamcorper@hotmail.org,Ap. 873-7960 Aliquet St.,"Tennessee", India ,,
10,Celeste Lynn,3,consequat.purus@icloud.com,Ap. 908-7270 In Avenue,"British Columbia", Belgium ,,
